INFO  2022-02-15 11:26:15,315 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2022-02-15 11:26:17,252 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2022-02-15 11:28:04,687 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:28:05,119 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:28:51,262 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:28:51,401 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:29:36,227 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:29:36,335 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:29:39,650 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:29:39,654 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:29:39,842 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:29:39,847 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:30:10,664 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:30:10,669 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:30:10,807 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:30:10,809 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:30:31,994 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:30:31,997 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:30:32,124 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:30:32,126 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:31:17,421 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:31:17,428 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:31:17,695 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:31:17,699 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:31:22,296 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:31:22,298 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:31:22,417 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:31:22,419 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:31:26,604 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:31:26,707 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:31:58,992 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:31:59,102 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:32:01,631 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:32:01,758 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:32:03,226 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:32:03,231 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:32:03,406 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:32:03,409 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:32:38,218 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:32:38,221 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:32:38,370 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:32:38,373 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:37:26,377 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:37:26,491 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:41:09,702 TBConfigService::? - GetTBConfig : MethodStart
INFO  2022-02-15 11:41:09,836 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2022-02-15 11:41:12,086 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:41:12,088 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:41:12,549 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:41:12,552 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:42:04,436 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2022-02-15 11:42:04,439 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2022-02-15 11:42:04,582 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2022-02-15 11:42:04,585 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2022-02-15 11:42:20,517 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
