INFO  2023-02-15 18:34:20,338 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2023-02-15 18:34:22,120 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2023-02-15 18:35:30,040 TBConfigService::? - GetTBConfig : MethodStart
INFO  2023-02-15 18:35:30,408 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2023-02-15 18:46:39,510 TBConfigService::? - GetTBConfig : MethodStart
INFO  2023-02-15 18:46:39,794 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2023-02-15 18:47:10,271 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:47:10,274 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:47:10,578 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:47:10,582 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:48:04,367 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:48:04,377 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:48:04,530 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:48:04,534 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:48:23,577 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:48:23,582 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:48:23,714 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:48:23,717 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:48:56,695 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:48:56,699 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:48:56,852 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:48:56,860 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:49:40,613 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:49:40,618 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:49:40,782 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:49:40,787 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:50:05,199 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:50:05,210 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:50:05,460 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:50:05,464 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:50:39,648 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:50:39,656 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:50:39,809 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:50:39,813 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:51:36,233 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:51:36,237 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:51:36,406 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:51:36,410 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2023-02-15 18:52:06,139 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2023-02-15 18:52:06,150 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2023-02-15 18:52:06,302 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2023-02-15 18:52:06,309 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
