INFO  2022-03-11 10:29:18,308 UserLoginDataService::? - GetData : MethodStart
INFO  2022-03-11 10:29:26,627 UserLoginDataService::? - GetData : MethodFinish
INFO  2022-03-11 10:31:32,268 UserLoginDataService::? - GetData : MethodStart
INFO  2022-03-11 10:31:33,488 UserLoginDataService::? - GetData : MethodFinish
INFO  2022-03-11 10:32:54,196 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-11 10:32:54,666 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-11 10:33:39,043 HospitalService::? - SaveData : MethodStart
INFO  2022-03-11 10:33:39,056 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-11 10:33:39,377 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-11 10:33:39,381 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-11 10:33:43,554 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-11 10:33:43,671 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-11 10:34:04,413 HospitalService::? - SaveData : MethodStart
INFO  2022-03-11 10:34:04,427 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-11 10:34:04,529 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-11 10:34:04,572 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-11 10:34:07,387 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-11 10:34:07,498 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-11 10:34:25,605 HospitalService::? - SaveData : MethodStart
INFO  2022-03-11 10:34:25,621 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-11 10:34:25,737 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-11 10:34:25,769 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-11 10:34:29,084 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-11 10:34:29,193 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-11 10:35:22,851 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-11 10:35:22,968 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-11 10:35:47,232 HospitalService::? - SaveData : MethodStart
INFO  2022-03-11 10:35:47,243 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-11 10:35:47,363 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-11 10:35:47,386 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-11 10:35:50,910 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-11 10:35:51,045 HospitalService::? - GetListWithModel : MethodFinish
