INFO  2022-03-14 10:12:06,717 UserLoginDataService::? - GetData : MethodStart
INFO  2022-03-14 10:12:08,663 UserLoginDataService::? - GetData : MethodFinish
INFO  2022-03-14 10:15:35,661 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-14 10:15:36,107 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-14 10:16:04,701 HospitalService::? - SaveData : MethodStart
INFO  2022-03-14 10:16:04,734 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-14 10:16:05,080 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-14 10:16:05,083 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-14 10:16:08,099 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-14 10:16:08,227 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-14 10:16:38,532 HospitalService::? - SaveData : MethodStart
INFO  2022-03-14 10:16:38,532 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-14 10:16:38,655 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-14 10:16:38,694 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-14 10:16:46,576 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-14 10:16:46,700 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-14 10:17:21,261 HospitalService::? - SaveData : MethodStart
INFO  2022-03-14 10:17:21,270 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-14 10:17:21,391 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-14 10:17:21,424 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-14 10:17:27,674 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-14 10:17:27,802 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-14 10:18:18,755 HospitalService::? - SaveData : MethodStart
INFO  2022-03-14 10:18:18,779 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-14 10:18:18,900 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-14 10:18:18,936 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-14 10:18:22,266 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-14 10:18:22,392 HospitalService::? - GetListWithModel : MethodFinish
INFO  2022-03-14 10:18:54,958 HospitalService::? - SaveLabData : MethodStart
INFO  2022-03-14 10:18:54,995 HospitalService::? - SaveData : MethodStart
INFO  2022-03-14 10:18:55,093 HospitalService::? - SaveLabData : MethodFinish
INFO  2022-03-14 10:18:55,160 HospitalService::? - SaveData : MethodFinish
INFO  2022-03-14 10:18:58,266 HospitalService::? - GetListWithModel : MethodStart
INFO  2022-03-14 10:18:58,403 HospitalService::? - GetListWithModel : MethodFinish
