INFO  2022-08-31 10:22:39,953 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2022-08-31 10:22:44,515 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2022-08-31 10:22:44,797 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-08-31 10:22:45,024 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-08-31 10:39:33,347 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2022-08-31 10:39:33,780 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2022-08-31 10:39:33,861 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-08-31 10:39:33,963 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-08-31 10:44:01,638 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-08-31 10:44:01,752 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-08-31 10:44:13,615 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-08-31 10:44:13,731 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-08-31 10:44:13,873 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-08-31 10:44:14,168 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-08-31 10:54:06,359 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-08-31 10:54:06,720 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-08-31 10:54:06,808 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-08-31 10:54:07,043 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2022-08-31 11:29:26,657 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2022-08-31 11:29:26,925 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2022-08-31 11:29:26,994 RoleDataService::? - Get_Role_List : MethodStart
INFO  2022-08-31 11:29:27,239 RoleDataService::? - Get_Role_List : MethodFinish
