INFO  2021-08-24 21:11:50,627 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2021-08-24 21:11:52,998 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2021-08-24 21:31:06,812 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2021-08-24 21:31:06,830 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2021-08-24 21:37:44,022 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-24 21:37:44,081 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-24 21:37:44,130 ParameterService::? - Get_Parameter_List : MethodStart
INFO  2021-08-24 21:37:44,149 ParameterService::? - Get_Parameter_List : MethodFinish
INFO  2021-08-24 21:38:12,359 ProvinceDataService::? - Get_Province_List : MethodStart
INFO  2021-08-24 21:38:12,367 ProvinceDataService::? - Get_Province_List : MethodFinish
INFO  2021-08-24 21:38:17,408 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-24 21:38:17,417 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-24 21:38:20,133 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-24 21:38:20,138 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-24 21:38:20,161 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-24 21:38:20,177 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-24 21:47:54,428 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-24 21:47:54,443 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-24 21:47:54,470 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-24 21:47:54,480 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-24 21:51:06,020 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-24 21:51:06,034 LabDataService::? - Get_AllLab_List : MethodFinish
INFO  2021-08-24 21:51:06,062 RoleDataService::? - Get_Role_List : MethodStart
INFO  2021-08-24 21:51:06,066 RoleDataService::? - Get_Role_List : MethodFinish
INFO  2021-08-24 21:51:17,383 LabDataService::? - Get_AllLab_List : MethodStart
INFO  2021-08-24 21:51:17,389 LabDataService::? - Get_AllLab_List : MethodFinish
